订单id,服务名称,服务内容,商家名称,商家ID,所属地区,所属经营单元,商家类型,合作商品渠道,合作商品类型,订单状态,签约模式,佣金状态,佣金策略,抽佣模式,所属行业,服务时间,服务时长,跟进人UID,跟进人昵称,跟进人岗位名称,订单取消原因
7604052802387707910,平台代运营服务,代运营,皇室童缘,7604317132097243145,许昌市-鄢陵县,许昌2区（新）,总部账户,,,等待服务,区域服务模式,已设置,统一比例抽佣,固定抽佣,,2026-02-09 ~ 2027-02-08,365天,4388887347861192,鄢陵（龙）-梁艳聪,鄢陵BD,
7604000848276391982,平台代运营服务,代运营,禹州动物园,7599979961922979880,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,酒旅行业,2026-02-08 ~ 2027-02-07,365天,7030138740922,禹州业务-孙帅兵,禹州运营岗,
7603741674776070184,平台代运营服务,代运营,道音乐厅,7599588587830560808,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-休娱行业,2026-02-07 ~ 2027-02-06,365天,2007087309661498,禹州（龙）杨双雨,禹州BD,
7603685713435740200,平台代运营服务,代运营,嗖小妖养生减肥护肤(鼓楼商业步行街店),7547168091071891456,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-丽人行业,2026-02-08 ~ 2027-02-07,365天,4388887347861192,鄢陵（龙）-梁艳聪,鄢陵BD,
7603660226654799881,平台代运营服务,代运营,于掌柜烟火烤场,7580162478894598153,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-02-06 ~ 2027-02-01,361天,2414976262742628,鄢陵（龙）-张跃辉,鄢陵BD,
7603630999888824354,平台代运营服务,代运营,阿刚餐饮店水果爆米花,7603696973833390107,许昌市-襄城县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-02-07 ~ 2027-02-06,365天,1080153489292476,襄县（龙）-郝世博,襄县BD,
7603641380975609882,平台代运营服务,代运营,偶遇酒店,7592090661675976719,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,未设置,商品自定义比例抽佣,固定抽佣,酒旅行业,2026-02-06 ~ 2027-02-05,365天,1715711029027582,禹州（龙）-徐世博,禹州BD,
7603630758351112244,平台代运营服务,代运营,胡羊排·香辣虾(鄢陵鼓楼二店),7603681720021305385,许昌市-鄢陵县,许昌2区（新）,总部账户,,,订单终止,区域服务模式,,统一比例抽佣,固定抽佣,餐饮行业,2026-02-07 ~ 2027-02-01,360天,2414976262742628,鄢陵（龙）-张跃辉,鄢陵BD,商户取消了本次合作
7603649683671648307,平台代运营服务,代运营,老蒋纯手工饺子馆,7598077175773906963,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-02-07 ~ 2027-02-06,365天,20674406391,鄢陵（龙）刘洋涛,鄢陵BD,
7603630943567448070,平台代运营服务,代运营,舟美甲美睫,7303343594197223460,许昌市-襄城县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-丽人行业,2026-02-06 ~ 2027-02-05,365天,1080153489292476,襄县（龙）-郝世博,襄县BD,
7603586892524914751,平台代运营服务,代运营,小跟班潮童馆,7603646063152465983,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-进场零售行业,2026-02-07 ~ 2027-02-06,365天,4388887347861192,鄢陵（龙）-梁艳聪,鄢陵BD,
7603596173773703209,平台代运营服务,代运营,德顺楼鱼庄,7603637658595510315,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-02-07 ~ 2027-02-01,360天,2414976262742628,鄢陵（龙）-张跃辉,鄢陵BD,
7603558365532555290,平台代运营服务,代运营,麻友汇棋牌室,7469699625348286474,许昌市-禹州市,许昌2区（新）,总部账户,,,等待服务,区域服务模式,未设置,商品自定义比例抽佣,固定抽佣,综合-休娱行业,2026-02-13 ~ 2027-02-12,365天,617291016863258,禹州（龙）付禹博,禹州BD,
7603311139565324340,平台代运营服务,代运营,宏达西城站,7602565552581773312,许昌市-禹州市,许昌2区（新）,区域账户,,,服务中,区域服务模式,已设置,商品自定义比例抽佣,固定抽佣,综合-LE行业,2026-02-06 ~ 2027-02-05,365天,552387276712204,王朝飞,操盘手,
7603311972768417827,平台代运营服务,代运营,艺选安来酒店(曹魏古城店),7462577156372105251,许昌市-魏都区,许昌1区（新）,总部账户,,,等待服务,区域服务模式,已设置,商品自定义比例抽佣,固定抽佣,酒旅行业,2026-02-13 ~ 2027-02-12,365天,831680486585357,许昌（凤）-王博,许昌总部运营岗,
7603329130360703026,平台代运营服务,代运营,昂昂折扣超市,7602894066438752298,许昌市-襄城县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-进场零售行业,2026-02-06 ~ 2027-02-05,365天,3101044949653036,襄县（龙）-刘一航,襄县BD,
7603369831102367754,平台代运营服务,代运营,一纸鸡锡纸烧肉饭,7603575007633770548,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-02-07 ~ 2027-02-06,365天,4388887347861192,鄢陵（龙）-梁艳聪,鄢陵BD,
7603311972768057379,平台代运营服务,代运营,梨泰院韩式滑蛋饭(鄢陵店),7603571457393756223,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-02-07 ~ 2027-02-06,365天,4388887347861192,鄢陵（龙）-梁艳聪,鄢陵BD,
7603311139564668980,平台代运营服务,代运营,繁荣烟酒,7524189241820203048,许昌市-襄城县,许昌2区（新）,总部账户,,,订单取消,区域服务模式,,统一比例抽佣,固定抽佣,综合-进场零售行业,2026-02-06 ~ 2027-02-05,365天,1080153489292476,襄县（龙）-郝世博,襄县BD,该订单已超过服务开始时间
7603253579658872838,平台代运营服务,代运营,龚合尚本地五香牛肉,7460709437678848026,许昌市-襄城县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-02-06 ~ 2027-02-05,365天,3101044949653036,襄县（龙）-刘一航,襄县BD,
7603212213335427126,平台代运营服务,代运营,禹州市飞马购物中心(瑞园小区店),7581309950329129010,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-进场零售行业,2026-02-05 ~ 2027-02-04,365天,1715711029027582,禹州（龙）-徐世博,禹州BD,
7603208626123606062,平台代运营服务,代运营,航轩牛羊肉,7423584222541269001,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-02-05 ~ 2027-02-04,365天,4388887347861192,鄢陵（龙）-梁艳聪,鄢陵BD,
7603215478304049187,平台代运营服务,代运营,高手台球俱乐部,7461877474239793179,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-LE行业,2026-02-06 ~ 2027-02-05,365天,4388887347861192,鄢陵（龙）-梁艳聪,鄢陵BD,
7603189417624307731,平台代运营服务,代运营,蒙牛乳业(襄城店),7329367293161703458,许昌市-襄城县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-进场零售行业,2026-02-06 ~ 2027-02-05,365天,7030138740922,禹州业务-孙帅兵,禹州运营岗,
7602940621506742323,平台代运营服务,代运营,富源生鲜(建设路店),7448128981620787211,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-进场零售行业,2026-02-05 ~ 2027-02-01,362天,42234682544713,禹州（龙）-宋明阳,禹州BD,
7602940565931460644,平台代运营服务,代运营,唐韵小镇,7600640587791878163,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,酒旅行业,2026-02-05 ~ 2027-02-01,362天,2414976262742628,鄢陵（龙）-张跃辉,鄢陵BD,
7602918478555187246,平台代运营服务,代运营,乐佳台球,7602829142270298127,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-LE行业,2026-02-05 ~ 2027-02-04,365天,20674406391,鄢陵（龙）刘洋涛,鄢陵BD,
7602901655528540195,平台代运营服务,代运营,康明眼视光验配中心(一店),7602921847436773412,许昌市-襄城县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-进场零售行业,2026-02-05 ~ 2027-02-04,365天,1250604322671715,襄县（龙）黄炬,襄县BD,
7602904160807290934,平台代运营服务,代运营,Wenwen.kids,7345040919000778762,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-进场零售行业,2026-02-04 ~ 2027-02-03,365天,1715711029027582,禹州（龙）-徐世博,禹州BD,
7602873270899247110,平台代运营服务,代运营,极限台球俱乐部,7602914496176293914,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-LE行业,2026-02-05 ~ 2027-02-01,362天,2414976262742628,鄢陵（龙）-张跃辉,鄢陵BD,
7602829552331065407,平台代运营服务,代运营,怪带劲可视采耳,7213690395379632183,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-休娱行业,2026-02-04 ~ 2027-02-03,365天,2007087309661498,禹州（龙）杨双雨,禹州BD,
7602706896974563334,平台代运营服务,代运营,康桥棋牌室,7602833433366382646,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-休娱行业,2026-02-05 ~ 2027-02-04,365天,2414976262742628,鄢陵（龙）-张跃辉,鄢陵BD,
7602630766041106475,平台代运营服务,代运营,树袋熊儿童王国(大乐成店),7602844873623865353,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-LE行业,2026-02-05 ~ 2027-02-01,362天,4388887347861192,鄢陵（龙）-梁艳聪,鄢陵BD,
